,UserID,Age,Clothing ID,Pic_path,Rating,Recommended IND,Positive Feedback Count,Class Name
9331,D,28,213,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_3.jpg,5,1,0,Blouses
10210,B,42,209,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_18.jpg,1,0,3,Blouses
557,B,42,120,,4,1,0,Dresses
3961,B,42,115,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_5.jpg,5,1,0,Dresses
4947,B,42,103,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_12.jpg,5,1,3,Dresses
6024,D,28,110,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_19.jpg,2,0,0,Dresses
8333,C,36,213,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_3.jpg,1,0,0,Blouses
3917,C,36,120,,3,1,7,Dresses
128,A,32,100,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_1.jpg,3,1,1,Dresses
312,A,32,113,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_3.jpg,3,1,0,Dresses
6107,C,36,116,C:\Users\amit hayoun\Desktop\reant_anyway_data\Dresses\D_6.jpg,4,1,12,Dresses
8723,A,32,206,C:\Users\amit hayoun\Desktop\reant_anyway_data\Blouses\B_15.jpg,5,1,1,Blouses
